S.No,State/UT,Single Lane - Accident - 2014,Single Lane - Accident - 2014 per 1L people,Single Lane - Killed - 2014,Single Lane - Killed - 2014 per 1L people,Single Lane - Injured - 2014,Single Lane - Injured - 2014 per 1L people,Two Lanes - Accident - 2014,Two Lanes - Accident - 2014 per 1L people,Two Lanes - Killed - 2014,Two Lanes - Killed - 2014 per 1L people,Two Lanes - Injured - 2014,Two Lanes - Injured - 2014 per 1L people,3 Lanes or more w.o Median - Accident - 2014,3 Lanes or more w.o Median - Accident - 2014 per 1L people,3 Lanes or more w.o Median - Killed - 2014,3 Lanes or more w.o Median - Killed - 2014 per 1L people,3 Lanes or more w.o Median - Injured - 2014,3 Lanes or more w.o Median - Injured - 2014 per 1L people,4 Lanes with Median - Accident - 2014,4 Lanes with Median - Accident - 2014 per 1L people,4 Lanes with Median - Killed - 2014,4 Lanes with Median - Killed - 2014 per 1L people,4 Lanes with Median - Injured - 2014,4 Lanes with Median - Injured - 2014 per 1L people,Population
11,Jharkhand,2449,7.42388156905147,1051,3.18599409108742,2004,6.07491166369095,2257,6.8418541042667,1180,3.57704379398968,1894,5.74145842865801,32,0.097004577464127,20,0.0606278609150793,24,0.0727534330980952,447,1.35503269145202,377,1.14283517824925,434,1.31562458185722,32988134
12,Karnataka,26467,43.3208467748344,5804,9.49991289836925,35558,58.2008791936964,13854,22.6760498439021,3982,6.51768662324368,18573,30.4000486322212,1404,2.29804922627678,383,0.626889496911685,897,1.46819811678794,1988,3.25393295002723,283,0.463210777091402,1803,2.95112731835971,61095297
13,Kerala,7340,21.9720606988055,1137,3.40357398018282,7900,23.6484032044365,27411,82.0539721818744,2738,8.19611746503127,31497,94.2852855354602,882,2.64023944636873,82,0.24546443832453,1008,3.01741651013569,649,1.94276122527586,92,0.275399125925083,691,2.06848691319818,33406061
14,Madhya Pradesh,28501,39.2430844648565,4423,6.09003763334831,29281,40.3170680402605,21828,30.0550172870737,3600,4.95684727109517,22501,30.9816723463646,232,0.319441268581689,36,0.0495684727109517,210,0.289149424147218,2911,4.00816177948834,510,0.702220030071815,3343,4.60298345201976,72626809
15,Maharashtra,23235,20.6764297324016,5312,4.72705809074747,17123,15.2374653026862,22838,20.3231462116887,4725,4.2046968145297,14726,13.1044159345533,6707,5.9684447693229,776,0.690549148798952,2946,2.62159509324963,8847,7.87279422606228,1990,1.77086701818288,5660,5.03673734819854,112374333
16,Manipur,423,14.8119927417734,89,3.11647128609417,762,26.6825968539748,312,10.9251577669818,76,2.66125637913659,520,18.208596278303,6,0.210099187826573,1,0.0350165313044288,11,0.385181844348717,2,0.0700330626088576,2,0.0700330626088576,2,0.0700330626088576,2855794
17,Meghalaya,308,10.3812444617915,81,2.73013247209451,126,4.24687273436923,234,7.88704936382858,60,2.02232034969963,185,6.23548774490721,0,0,0,0,0,0,0,0,0,0,0,0,2966889
18,Mizoram,57,5.1950135161492,45,4.10132646011779,124,11.3014329123246,75,6.83554410019632,58,5.28615410415182,110,10.0254646802879,0,0,0,0,0,0,0,0,0,0,0,0,1097206
19,Nagaland,305,15.4157033958015,81,4.09400647560629,230,11.624956659129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978502
20,Orissa,5339,12.7197128484919,2019,4.81009556866551,6032,14.3707263349135,3113,7.4164574072589,1331,3.17099415646052,3698,8.81017009060181,124,0.295419440571829,43,0.102443838262812,216,0.51460160615738,1072,2.55394871204033,538,1.28173918570681,1141,2.71833533622949,41974218
21,Punjab,2930,10.5610939822742,2250,8.11005510584199,2008,7.23777362334698,2127,7.66670542672262,1592,5.7383145460002,1262,4.54883979714337,511,1.84188362626011,267,0.962393205893249,349,1.25795965863949,823,2.9664779342702,512,1.84548809519604,508,1.83107021945232,27743338
22,Rajasthan,11874,17.3220579777771,5035,7.34517112330366,13789,20.115703002827,8107,11.8266737431227,3266,4.7645141784925,8801,12.8390965354907,254,0.370540906716808,140,0.204235145434461,254,0.370540906716808,4393,6.40860709923991,1848,2.69590391973489,4609,6.72371275219594,68548437
23,Sikkim,203,33.2472399058595,59,9.66299090859957,352,57.6503864377466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610577
24,Tamil Nadu,20499,28.4128120034879,4693,6.50477226851888,26119,36.2024604477828,28284,39.203276974811,6731,9.32955937340733,32959,45.6831001913731,5389,7.46946894418246,582,0.806686013270401,2893,4.00986707283723,13078,18.1268723050692,3184,4.41321007947243,15754,21.8359646959826,72147030
25,Telangana,6353,19.6962444132485,2077,6.43933569121944,6855,21.2525980564801,9604,29.7753394215077,3250,10.075994702197,10571,32.7733353836691,435,1.34863313706329,173,0.536352948763102,374,1.15951446726821,3686,11.4277281453225,1406,4.35903032347353,3836,11.8927740546547,32254880
26,Tripura,462,12.5751343865417,138,3.75620897260335,762,20.7408060661142,202,5.49821893091216,44,1.1976318463373,314,8.54673635795256,52,1.4153830911259,6,0.16331343359145,149,4.05561693418768,0,0,0,0,0,0,3673917
27,Uttarakhand,742,7.35651912516512,454,4.50115860218998,825,8.17941816477254,668,6.62285010190068,424,4.20372521438007,706,6.99959905979323,0,0,0,0,0,0,0,0,0,0,0,0,10086292
28,Uttar Pradesh,14955,7.48452269021762,7770,3.88864869963162,10561,5.28545932005271,8965,4.48670985742567,4740,2.37222584765172,6546,3.27607392378232,2643,1.32274112138049,1436,0.718674328529087,2038,1.01995702057262,4471,2.23759952844955,2341,1.17159930577061,3192,1.59749892525407,199812341
29,West Bengal,7654,8.38554533132792,3478,3.8104163394772,7399,8.10617323053243,4323,4.73617879113282,2011,2.20320507725378,3958,4.33629323509223,161,0.176387875404206,40,0.0438230746345854,138,0.15118960748932,737,0.807440150142236,346,0.379069595589164,523,0.572986700847204,91276115
30,Andaman & Nicobar Islands,99,26.0128592861966,8,2.10204923524821,148,38.8879108520919,115,30.2169577566931,15,3.9413423160904,129,33.8955439183774,1,0.262756154406027,0,0,1,0.262756154406027,3,0.78826846321808,0,0,5,1.31378077203013,380581
31,Chandigarh,131,12.4117674925387,46,4.3583305698991,140,13.2644843431712,75,7.10597375527026,27,2.55815055189729,74,7.01122743853333,59,5.59003268747927,20,1.89492633473874,35,3.31612108579279,104,9.85361694064143,38,3.6003600360036,86,8.14818323937657,1055450
32,Dadra & Nagar Haveli,21,6.10981964394299,15,4.3641568885307,28,8.14642619192398,66,19.2022903095351,44,12.8015268730234,68,19.7841778946725,0,0,0,0,0,0,0,0,0,0,0,0,343709
33,Daman & Diu,13,5.34436190374393,5,2.05552380913228,11,4.52215238009102,26,10.6887238074879,10,4.11104761826456,38,15.6219809494053,0,0,0,0,0,0,0,0,0,0,0,0,243247
34,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16787941
35,Lakshadweep,1,1.55103686814636,0,0,1,1.55103686814636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64473
36,Puducherry,525,42.068892017568,43,3.44564258429604,393,31.491570596008,567,45.4344033789734,108,8.65417207218541,930,74.5220372882633,0,0,0,0,0,0,19,1.52249323492151,0,0,0,0,1247953
Total ,Total ,207725,17.1552336114319,60336,4.9829253829792,217356,17.9506220091293,193188,15.9546769571564,53033,4.37979782941422,198273,16.3746281566467,22368,1.84728976011799,5425,0.448030532396284,14387,1.18816871328762,57480,4.74705898656929,19206,1.58615196409272,55175,4.55669762672165,1210854977
