States/UTs,Year,CrimeHead,Offenders (Driver/Pedestrian) Died_Male,Offenders (Driver/Pedestrian) Died_Female,Offenders (Driver/Pedestrian) Died_Transgender,Offenders (Driver/Pedestrian) Died_Total,Victims Died_Male,Victims Died_Female,Victims Died_Transgender,Victims Died_Total
Arunachal Pradesh,2014,Two Wheeler - Others,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Other Motor Vehicles,7,0,0,7,5,1,0,6
Arunachal Pradesh,2014,Sub Total (Motor Vehicles),52,4,0,56,37,12,0,49
Arunachal Pradesh,2014,Bicycle,3,0,0,3,0,0,0,0
Arunachal Pradesh,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Arunachal Pradesh,2014,Pedestrian,2,0,0,2,0,0,0,0
Arunachal Pradesh,2014,Others,1,0,0,1,1,0,0,1
Arunachal Pradesh,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,6,0,0,6,1,0,0,1
Arunachal Pradesh,2014,Total,58,4,0,62,38,12,0,50
Assam,2014,Truck/Lorry (Total),44,0,0,44,327,10,0,337
Assam,2014,Truck/Lorry - Normal Goods Carriers,44,0,0,44,327,10,0,337
Assam,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,0,0,0,0
Assam,2014,Truck/Lorry - Tankers,0,0,0,0,0,0,0,0
Assam,2014,Truck/Lorry - Others,0,0,0,0,0,0,0,0
Assam,2014,Bus (Total),17,0,0,17,156,73,0,229
Assam,2014,Bus - Government,0,0,0,0,1,0,0,1
Assam,2014,Bus - Private,17,0,0,17,155,73,0,228
Assam,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Assam,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),0,0,0,0,17,2,0,19
Assam,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Assam,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,0,0,0,0,13,2,0,15
Assam,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,0,0,0,0,4,0,0,4
Assam,2014,Car (4 & 5 Seater) (Total),26,0,0,26,274,109,0,383
Assam,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Assam,2014,Car (4 & 5 Seater) - Private,26,0,0,26,205,76,0,281
Assam,2014,Car (4 & 5 Seater) - Taxi,0,0,0,0,69,33,0,102
Assam,2014,Jeep (Total),76,0,0,76,49,3,0,52
Assam,2014,Jeep - Government,4,0,0,4,0,0,0,0
Assam,2014,Jeep - Private,72,0,0,72,49,3,0,52
Assam,2014,Tractor (Total),0,0,0,0,36,0,0,36
Assam,2014,Three Wheeler/Auto rickshaw (Total),15,0,0,15,145,22,0,167
Assam,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,7,0,0,7,144,22,0,166
Assam,2014,Three Wheeler/Auto rickshaw - Goods Carriers,8,0,0,8,1,0,0,1
Assam,2014,Two Wheeler (Total),229,1,0,230,264,38,0,302
Assam,2014,Two Wheeler - Motor Cycle,212,0,0,212,237,33,0,270
Assam,2014,Two Wheeler - Scooter,17,1,0,18,18,5,0,23
Assam,2014,Two Wheeler - Others,0,0,0,0,9,0,0,9
Assam,2014,Other Motor Vehicles,58,0,0,58,385,77,0,462
Assam,2014,Sub Total (Motor Vehicles),465,1,0,466,1653,334,0,1987
Assam,2014,Bicycle,18,0,0,18,17,1,0,18
Assam,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),1,0,0,1,1,0,0,1
Assam,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Assam,2014,Pedestrian,0,0,0,0,28,3,0,31
Assam,2014,Others,0,0,0,0,0,0,0,0
Assam,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,19,0,0,19,46,4,0,50
Assam,2014,Total,484,1,0,485,1699,338,0,2037
Bihar,2014,Truck/Lorry (Total),88,2,0,90,659,133,0,792
Bihar,2014,Truck/Lorry - Normal Goods Carriers,80,2,0,82,437,59,0,496
Bihar,2014,Truck/Lorry - Trailer/Container Carriers,1,0,0,1,27,9,0,36
Bihar,2014,Truck/Lorry - Tankers,1,0,0,1,56,13,0,69
Bihar,2014,Truck/Lorry - Others,6,0,0,6,139,52,0,191
Bihar,2014,Bus (Total),36,4,0,40,439,104,0,543
Bihar,2014,Bus - Government,0,0,0,0,6,4,0,10
Bihar,2014,Bus - Private,36,4,0,40,417,93,0,510
Bihar,2014,Bus - School Bus,0,0,0,0,16,7,0,23
Bihar,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),26,1,0,27,128,31,0,159
Bihar,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,2,3,0,5
Bihar,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,25,1,0,26,103,21,0,124
Bihar,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,1,0,0,1,23,7,0,30
Bihar,2014,Car (4 & 5 Seater) (Total),75,3,0,78,237,66,0,303
Bihar,2014,Car (4 & 5 Seater) - Government,0,0,0,0,1,2,0,3
Bihar,2014,Car (4 & 5 Seater) - Private,51,3,0,54,157,38,0,195
Bihar,2014,Car (4 & 5 Seater) - Taxi,24,0,0,24,79,26,0,105
Bihar,2014,Jeep (Total),30,8,0,38,275,73,0,348
Bihar,2014,Jeep - Government,0,0,0,0,2,4,0,6
Bihar,2014,Jeep - Private,30,8,0,38,273,69,0,342
Bihar,2014,Tractor (Total),32,2,0,34,204,37,0,241
Bihar,2014,Three Wheeler/Auto rickshaw (Total),76,7,0,83,255,67,0,322
Bihar,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,76,7,0,83,226,64,0,290
Bihar,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,29,3,0,32
Bihar,2014,Two Wheeler (Total),276,16,0,292,405,94,0,499
Bihar,2014,Two Wheeler - Motor Cycle,266,15,0,281,376,85,0,461
Bihar,2014,Two Wheeler - Scooter,6,0,0,6,16,4,0,20
Bihar,2014,Two Wheeler - Others,4,1,0,5,13,5,0,18
Bihar,2014,Other Motor Vehicles,32,0,0,32,262,48,0,310
Bihar,2014,Sub Total (Motor Vehicles),671,43,0,714,2864,653,0,3517
Bihar,2014,Bicycle,27,8,0,35,26,0,0,26
Bihar,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),2,1,0,3,12,2,0,14
Bihar,2014,Animal Drawn Vehicle,0,0,0,0,2,1,0,3
Bihar,2014,Pedestrian,6,0,0,6,49,30,0,79
Bihar,2014,Others,33,1,0,34,328,63,0,391
Bihar,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,68,10,0,78,417,96,0,513
Bihar,2014,Total,739,53,0,792,3281,749,0,4030
Chhattisgarh,2014,Truck/Lorry (Total),268,18,0,286,507,101,0,608
Chhattisgarh,2014,Truck/Lorry - Normal Goods Carriers,152,4,0,156,279,67,0,346
Chhattisgarh,2014,Truck/Lorry - Trailer/Container Carriers,14,2,0,16,46,4,0,50
Chhattisgarh,2014,Truck/Lorry - Tankers,11,0,0,11,40,3,0,43
Chhattisgarh,2014,Truck/Lorry - Others,91,12,0,103,142,27,0,169
Chhattisgarh,2014,Bus (Total),32,2,0,34,128,35,0,163
Chhattisgarh,2014,Bus - Government,0,0,0,0,0,0,0,0
Chhattisgarh,2014,Bus - Private,30,2,0,32,122,32,0,154
Chhattisgarh,2014,Bus - School Bus,2,0,0,2,6,3,0,9
Chhattisgarh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),34,4,0,38,44,20,0,64
Chhattisgarh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,2,0,0,2,0,1,0,1
Chhattisgarh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,32,4,0,36,22,11,0,33
Chhattisgarh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,0,0,0,0,22,8,0,30
Chhattisgarh,2014,Car (4 & 5 Seater) (Total),136,9,0,145,170,46,0,216
Chhattisgarh,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Chhattisgarh,2014,Car (4 & 5 Seater) - Private,132,9,0,141,154,43,0,197
Chhattisgarh,2014,Car (4 & 5 Seater) - Taxi,4,0,0,4,16,3,0,19
Chhattisgarh,2014,Jeep (Total),36,1,0,37,103,9,0,112
Chhattisgarh,2014,Jeep - Government,0,0,0,0,0,0,0,0
Chhattisgarh,2014,Jeep - Private,36,1,0,37,103,9,0,112
Chhattisgarh,2014,Tractor (Total),90,5,0,95,150,28,0,178
Chhattisgarh,2014,Three Wheeler/Auto rickshaw (Total),3,0,0,3,24,9,0,33
Chhattisgarh,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,3,0,0,3,22,9,0,31
Chhattisgarh,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,2,0,0,2
Chhattisgarh,2014,Two Wheeler (Total),505,37,0,542,472,104,0,576
Chhattisgarh,2014,Two Wheeler - Motor Cycle,423,25,0,448,406,81,0,487
Chhattisgarh,2014,Two Wheeler - Scooter,14,8,0,22,36,11,0,47
Chhattisgarh,2014,Two Wheeler - Others,68,4,0,72,30,12,0,42
Chhattisgarh,2014,Other Motor Vehicles,202,15,0,217,457,74,0,531
Chhattisgarh,2014,Sub Total (Motor Vehicles),1306,91,0,1397,2055,426,0,2481
Chhattisgarh,2014,Bicycle,5,0,0,5,5,2,0,7
Chhattisgarh,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Chhattisgarh,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Chhattisgarh,2014,Pedestrian,3,0,0,3,45,15,0,60
Chhattisgarh,2014,Others,1,0,0,1,24,7,0,31
Chhattisgarh,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,9,0,0,9,74,24,0,98
Chhattisgarh,2014,Total,1315,91,0,1406,2129,450,0,2579
Goa,2014,Truck/Lorry (Total),1,0,0,1,21,7,0,28
Goa,2014,Truck/Lorry - Normal Goods Carriers,1,0,0,1,14,3,0,17
Goa,2014,Truck/Lorry - Trailer/Container Carriers,0,0,0,0,1,2,0,3
Goa,2014,Truck/Lorry - Tankers,0,0,0,0,5,1,0,6
Goa,2014,Truck/Lorry - Others,0,0,0,0,1,1,0,2
Goa,2014,Bus (Total),0,1,0,1,10,2,0,12
Goa,2014,Bus - Government,0,1,0,1,3,0,0,3
Goa,2014,Bus - Private,0,0,0,0,7,2,0,9
Goa,2014,Bus - School Bus,0,0,0,0,0,0,0,0
Goa,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),1,0,0,1,9,2,0,11
Goa,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Goa,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,1,0,0,1,7,2,0,9
Goa,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,0,0,0,0,2,0,0,2
Goa,2014,Car (4 & 5 Seater) (Total),7,1,0,8,20,8,0,28
Goa,2014,Car (4 & 5 Seater) - Government,0,0,0,0,0,0,0,0
Goa,2014,Car (4 & 5 Seater) - Private,7,1,0,8,19,8,0,27
Goa,2014,Car (4 & 5 Seater) - Taxi,0,0,0,0,1,0,0,1
Goa,2014,Jeep (Total),0,0,0,0,1,0,0,1
Goa,2014,Jeep - Government,0,0,0,0,0,0,0,0
Goa,2014,Jeep - Private,0,0,0,0,1,0,0,1
Goa,2014,Tractor (Total),0,0,0,0,0,0,0,0
Goa,2014,Three Wheeler/Auto rickshaw (Total),0,0,0,0,2,0,0,2
Goa,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,0,0,0,0,0,0,0,0
Goa,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,2,0,0,2
Goa,2014,Two Wheeler (Total),62,4,0,66,91,10,0,101
Goa,2014,Two Wheeler - Motor Cycle,54,2,0,56,67,7,0,74
Goa,2014,Two Wheeler - Scooter,8,2,0,10,23,3,0,26
Goa,2014,Two Wheeler - Others,0,0,0,0,1,0,0,1
Goa,2014,Other Motor Vehicles,3,0,0,3,6,1,0,7
Goa,2014,Sub Total (Motor Vehicles),74,6,0,80,160,30,0,190
Goa,2014,Bicycle,0,0,0,0,4,0,0,4
Goa,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,0,0,0,0
Goa,2014,Animal Drawn Vehicle,0,0,0,0,0,0,0,0
Goa,2014,Pedestrian,1,0,0,1,14,6,0,20
Goa,2014,Others,0,0,0,0,3,0,0,3
Goa,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,1,0,0,1,21,6,0,27
Goa,2014,Total,75,6,0,81,181,36,0,217
Gujarat,2014,Truck/Lorry (Total),293,14,0,307,1208,210,0,1418
Gujarat,2014,Truck/Lorry - Normal Goods Carriers,140,5,0,145,639,104,0,743
Gujarat,2014,Truck/Lorry - Trailer/Container Carriers,51,2,0,53,277,41,0,318
Gujarat,2014,Truck/Lorry - Tankers,25,0,0,25,106,22,0,128
Gujarat,2014,Truck/Lorry - Others,77,7,0,84,186,43,0,229
Gujarat,2014,Bus (Total),63,6,0,69,295,76,0,371
Gujarat,2014,Bus - Government,21,1,0,22,110,22,0,132
Gujarat,2014,Bus - Private,41,5,0,46,179,52,0,231
Gujarat,2014,Bus - School Bus,1,0,0,1,6,2,0,8
Gujarat,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),47,3,0,50,177,28,0,205
Gujarat,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,3,0,0,3,3,2,0,5
Gujarat,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,27,1,0,28,123,17,0,140
Gujarat,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,17,2,0,19,51,9,0,60
Gujarat,2014,Car (4 & 5 Seater) (Total),228,6,0,234,747,154,0,901
Gujarat,2014,Car (4 & 5 Seater) - Government,9,0,0,9,8,2,0,10
Gujarat,2014,Car (4 & 5 Seater) - Private,203,6,0,209,703,138,0,841
Gujarat,2014,Car (4 & 5 Seater) - Taxi,16,0,0,16,36,14,0,50
Gujarat,2014,Jeep (Total),81,2,0,83,352,70,0,422
Gujarat,2014,Jeep - Government,2,0,0,2,18,7,0,25
Gujarat,2014,Jeep - Private,79,2,0,81,334,63,0,397
Gujarat,2014,Tractor (Total),31,1,0,32,152,18,0,170
Gujarat,2014,Three Wheeler/Auto rickshaw (Total),120,5,0,125,363,111,0,474
Gujarat,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,95,4,0,99,304,95,0,399
Gujarat,2014,Three Wheeler/Auto rickshaw - Goods Carriers,25,1,0,26,59,16,0,75
Gujarat,2014,Two Wheeler (Total),648,30,0,678,946,188,0,1134
Gujarat,2014,Two Wheeler - Motor Cycle,595,17,0,612,832,156,0,988
Gujarat,2014,Two Wheeler - Scooter,37,2,0,39,62,20,0,82
Gujarat,2014,Two Wheeler - Others,16,11,0,27,52,12,0,64
Gujarat,2014,Other Motor Vehicles,85,7,0,92,468,70,0,538
Gujarat,2014,Sub Total (Motor Vehicles),1596,74,0,1670,4708,925,0,5633
Gujarat,2014,Bicycle,10,0,0,10,54,0,0,54
Gujarat,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),1,0,0,1,0,0,0,0
Gujarat,2014,Animal Drawn Vehicle,1,0,0,1,1,0,0,1
Gujarat,2014,Pedestrian,55,19,0,74,260,49,0,309
Gujarat,2014,Others,17,4,0,21,60,23,0,83
Gujarat,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,84,23,0,107,375,72,0,447
Gujarat,2014,Total,1680,97,0,1777,5083,997,0,6080
Haryana,2014,Truck/Lorry (Total),27,0,0,27,967,85,0,1052
Haryana,2014,Truck/Lorry - Normal Goods Carriers,12,0,0,12,464,49,0,513
Haryana,2014,Truck/Lorry - Trailer/Container Carriers,4,0,0,4,177,12,0,189
Haryana,2014,Truck/Lorry - Tankers,5,0,0,5,88,5,0,93
Haryana,2014,Truck/Lorry - Others,6,0,0,6,238,19,0,257
Haryana,2014,Bus (Total),2,0,0,2,210,38,0,248
Haryana,2014,Bus - Government,0,0,0,0,92,22,0,114
Haryana,2014,Bus - Private,2,0,0,2,95,15,0,110
Haryana,2014,Bus - School Bus,0,0,0,0,23,1,0,24
Haryana,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),15,1,0,16,135,26,0,161
Haryana,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,4,5,0,9
Haryana,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,10,1,0,11,98,11,0,109
Haryana,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,5,0,0,5,33,10,0,43
Haryana,2014,Car (4 & 5 Seater) (Total),61,8,0,69,520,89,0,609
Haryana,2014,Car (4 & 5 Seater) - Government,0,0,0,0,8,4,0,12
Haryana,2014,Car (4 & 5 Seater) - Private,55,8,0,63,436,70,0,506
Haryana,2014,Car (4 & 5 Seater) - Taxi,6,0,0,6,76,15,0,91
Haryana,2014,Jeep (Total),12,0,0,12,208,27,0,235
Haryana,2014,Jeep - Government,0,0,0,0,2,0,0,2
Haryana,2014,Jeep - Private,12,0,0,12,206,27,0,233
Haryana,2014,Tractor (Total),2,0,0,2,223,26,0,249
Haryana,2014,Three Wheeler/Auto rickshaw (Total),7,0,0,7,236,23,0,259
Haryana,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,7,0,0,7,209,22,0,231
Haryana,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,27,1,0,28
Haryana,2014,Two Wheeler (Total),80,1,0,81,626,78,0,704
Haryana,2014,Two Wheeler - Motor Cycle,74,1,0,75,541,70,0,611
Haryana,2014,Two Wheeler - Scooter,2,0,0,2,38,4,0,42
Haryana,2014,Two Wheeler - Others,4,0,0,4,47,4,0,51
Haryana,2014,Other Motor Vehicles,2,0,0,2,293,40,0,333
Haryana,2014,Sub Total (Motor Vehicles),208,10,0,218,3418,432,0,3850
Haryana,2014,Bicycle,3,0,0,3,97,3,0,100
Haryana,2014,Hand Drawn Vehicle/Cycle rickshaw (Passenger),0,0,0,0,5,2,0,7
Haryana,2014,Animal Drawn Vehicle,1,1,0,2,1,0,0,1
Haryana,2014,Pedestrian,0,0,0,0,463,43,0,506
Haryana,2014,Others,2,0,0,2,156,30,0,186
Haryana,2014,Sub Total - (Bicycle + Hand Drawn Vehicle/Cycle rickshaw (Passenger) + Animal Drawn Vehicle + Pedestrian + Others,6,1,0,7,722,78,0,800
Haryana,2014,Total,214,11,0,225,4140,510,0,4650
Himachal Pradesh,2014,Truck/Lorry (Total),59,2,0,61,115,9,0,124
Himachal Pradesh,2014,Truck/Lorry - Normal Goods Carriers,38,1,0,39,67,8,0,75
Himachal Pradesh,2014,Truck/Lorry - Trailer/Container Carriers,1,0,0,1,11,0,0,11
Himachal Pradesh,2014,Truck/Lorry - Tankers,6,0,0,6,9,1,0,10
Himachal Pradesh,2014,Truck/Lorry - Others,14,1,0,15,28,0,0,28
Himachal Pradesh,2014,Bus (Total),43,7,0,50,192,66,0,258
Himachal Pradesh,2014,Bus - Government,11,2,0,13,69,24,0,93
Himachal Pradesh,2014,Bus - Private,31,5,0,36,121,42,0,163
Himachal Pradesh,2014,Bus - School Bus,1,0,0,1,2,0,0,2
Himachal Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. (Total),19,0,0,19,37,2,0,39
Himachal Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Government,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Private,11,0,0,11,23,0,0,23
Himachal Pradesh,2014,SUV (7 & 8 Seater)/Station Wagon/etc. - Taxi,8,0,0,8,14,2,0,16
Himachal Pradesh,2014,Car (4 & 5 Seater) (Total),111,7,0,118,215,64,0,279
Himachal Pradesh,2014,Car (4 & 5 Seater) - Government,0,0,0,0,10,0,0,10
Himachal Pradesh,2014,Car (4 & 5 Seater) - Private,96,3,0,99,178,63,0,241
Himachal Pradesh,2014,Car (4 & 5 Seater) - Taxi,15,4,0,19,27,1,0,28
Himachal Pradesh,2014,Jeep (Total),28,1,0,29,84,5,0,89
Himachal Pradesh,2014,Jeep - Government,0,0,0,0,1,0,0,1
Himachal Pradesh,2014,Jeep - Private,28,1,0,29,83,5,0,88
Himachal Pradesh,2014,Tractor (Total),13,1,0,14,5,1,0,6
Himachal Pradesh,2014,Three Wheeler/Auto rickshaw (Total),1,0,0,1,1,0,0,1
Himachal Pradesh,2014,Three Wheeler/Auto rickshaw - Passenger Carriers,1,0,0,1,0,0,0,0
Himachal Pradesh,2014,Three Wheeler/Auto rickshaw - Goods Carriers,0,0,0,0,1,0,0,1
Himachal Pradesh,2014,Two Wheeler (Total),99,4,0,103,49,9,0,58
Himachal Pradesh,2014,Two Wheeler - Motor Cycle,92,3,0,95,46,8,0,54
Himachal Pradesh,2014,Two Wheeler - Scooter,7,1,0,8,3,1,0,4
