Sl. No,States/UTs,Fault of Driver-Total No. of Road Accidents - 2014,Fault of Driver-Total No. of Road Accidents - 2014 per 1L people,Fault of Driver-Number of Persons-Killed - 2014,Fault of Driver-Number of Persons-Killed - 2014 per 1L people,Fault of Driver-Number of Persons-Injured - 2014,Fault of Driver-Number of Persons-Injured - 2014 per 1L people,Fault of Driver of other vehicles-Total No. of Road Accidents - 2014,Fault of Driver of other vehicles-Total No. of Road Accidents - 2014 per 1L people,Fault of Driver of other vehicles-Number of Persons-Killed - 2014,Fault of Driver of other vehicles-Number of Persons-Killed - 2014 per 1L people,Fault of Driver of other vehicles-Number of Persons-Injured - 2014,Fault of Driver of other vehicles-Number of Persons-Injured - 2014 per 1L people,Fault of Pedestrian-Total No. of Road Accidents - 2014,Fault of Pedestrian-Total No. of Road Accidents - 2014 per 1L people,Fault of Pedestrian-Number of Persons-Killed - 2014,Fault of Pedestrian-Number of Persons-Killed - 2014 per 1L people,Fault of Pedestrian-Number of Persons-Injured - 2014,Fault of Pedestrian-Number of Persons-Injured - 2014 per 1L people,Defect in Condition of Motor Vehicle-Total No. of Road Accidents - 2014,Defect in Condition of Motor Vehicle-Total No. of Road Accidents - 2014 per 1L people,Defect in Condition of Motor Vehicle-Number of Persons-Killed - 2014,Defect in Condition of Motor Vehicle-Number of Persons-Killed - 2014 per 1L people,Defect in Condition of Motor Vehicle-Number of Persons-Injured - 2014,Defect in Condition of Motor Vehicle-Number of Persons-Injured - 2014 per 1L people,Defect in Road Condition-Total No. of Road Accidents - 2014,Defect in Road Condition-Total No. of Road Accidents - 2014 per 1L people,Defect in Road Condition-Number of Persons-Killed - 2014,Defect in Road Condition-Number of Persons-Killed - 2014 per 1L people,Defect in Road Condition-Number of Persons-Injured - 2014,Defect in Road Condition-Number of Persons-Injured - 2014 per 1L people,Weather Condition-Total No. of Road Accidents - 2014,Weather Condition-Total No. of Road Accidents - 2014 per 1L people,Weather Condition-Number of Persons-Killed - 2014,Weather Condition-Number of Persons-Killed - 2014 per 1L people,Weather Condition-Number of Persons-Injured - 2014,Weather Condition-Number of Persons-Injured - 2014 per 1L people,Fault of Passenger-Total No. of Road Accidents - 2014,Fault of Passenger-Total No. of Road Accidents - 2014 per 1L people,Fault of Passenger-Number of Persons-Killed - 2014,Fault of Passenger-Number of Persons-Killed - 2014 per 1L people,Fault of Passenger-Number of Persons-Injured - 2014,Fault of Passenger-Number of Persons-Injured - 2014 per 1L people,Poor light-Total No. of Road Accidents - 2014,Poor light-Total No. of Road Accidents - 2014 per 1L people,Poor light-Number of Persons-Killed - 2014,Poor light-Number of Persons-Killed - 2014 per 1L people,Poor light-Number of Persons-Injured - 2014,Poor light-Number of Persons-Injured - 2014 per 1L people,Falling of boulders-Total No. of Road Accidents - 2014,Falling of boulders-Total No. of Road Accidents - 2014 per 1L people,Falling of boulders-Number of Persons-Killed - 2014,Falling of boulders-Number of Persons-Killed - 2014 per 1L people,Falling of boulders-Number of Persons-Injured - 2014,Falling of boulders-Number of Persons-Injured - 2014 per 1L people,Other causes/causes not known-Total No. of Road Accidents - 2014,Other causes/causes not known-Total No. of Road Accidents - 2014 per 1L people,Other causes/causes not known-Number of Persons-Killed - 2014,Other causes/causes not known-Number of Persons-Killed - 2014 per 1L people,Other causes/causes not known-Number of Persons-Injured - 2014,Other causes/causes not known-Number of Persons-Injured - 2014 per 1L people,Population
11,Jharkhand,2961,8.9759548084775,1354,4.10450618395087,2367,7.17530733929964,358,1.08523871037992,209,0.633561146562579,225,0.682063435294643,305,0.92457487895496,193,0.585058857830516,242,0.73359711707246,285,0.863947018039881,156,0.472897315137619,220,0.666906470065873,223,0.676000649203135,137,0.415300847268294,231,0.700251793569166,203,0.615372788288055,94,0.284950946300873,230,0.697220400523412,54,0.163695224470714,27,0.0818476122353571,46,0.139444080104682,79,0.239480050614563,49,0.148538259241944,75,0.227354478431548,24,0.0727534330980952,15,0.0454708956863095,24,0.0727534330980952,631,1.91280901187075,345,1.04583060078512,632,1.91584040491651,32988134
12,Karnataka,35409,57.9569979011641,8508,13.9257854823097,45635,74.6947837899863,3054,4.99874810331145,648,1.06063810443544,4489,7.34753773273252,335,0.548323711397949,77,0.126032614261618,867,1.41909450084186,626,1.02462878607497,113,0.18495695339692,810,1.3257976305443,178,0.291348121280104,43,0.0703818495227219,183,0.299532057271119,679,1.11137850757972,202,0.330631014036972,307,0.50249366984827,138,0.225876633351991,20,0.0327357439640567,289,0.473031500280619,247,0.4042864379561,52,0.0851129343065474,324,0.530319052217718,42,0.068745062324519,13,0.0212782335766368,40,0.0654714879281134,2385,3.90373746771376,644,1.05409095564263,3085,5.04948850645574,61095297
13,Kerala,36282,108.609033552325,4049,12.1205550094637,41096,123.01959216323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33406061
14,Madhya Pradesh,41275,56.8316308651259,6740,9.28031961310595,44090,60.7076100507183,2215,3.04983797374328,346,0.476408098833036,2240,3.08426052423699,152,0.209289107001796,10,0.0137690201974866,99,0.136313299955117,1664,2.29116496086177,370,0.509453747307003,1690,2.32696441337523,1446,1.99100032055656,225,0.309802954443448,1337,1.84091800040396,539,0.742150188644527,83,0.114282867639139,448,0.616852104847399,525,0.722873560368045,81,0.111529063599641,502,0.691204813913826,417,0.57416814223519,55,0.0757296110861762,366,0.503946139228009,71,0.0977600434021547,2,0.00275380403949732,17,0.0234073343357272,4333,5.96611645157093,599,0.824764309829446,4099,5.64392137894975,72626809
15,Maharashtra,48237,42.9252825909988,11113,9.88926893118912,34294,30.5176449857104,7270,6.46944885537163,531,0.472527832490005,2186,1.94528407123004,334,0.297220896519137,111,0.0987770045318089,268,0.238488623554277,497,0.442271813083865,98,0.087208526523579,455,0.404896730288045,381,0.339045393933506,79,0.0703007509730892,324,0.288322067282037,102,0.090768058218419,41,0.0364851998721096,92,0.0818692289813191,95,0.084538877752449,29,0.0258066047875897,69,0.0614019217359893,150,0.133482438556498,48,0.0427143803380795,142,0.126363375166819,71,0.0631816875834093,0,0,64,0.0569525071174394,4309,3.83450551826635,688,0.612239451512473,2377,2.11525170965865,112374333
16,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,4.6221821321846,27,0.945446345219578,221,7.73865341827877,81,2.83633903565873,10,0.350165313044288,128,4.48211600696689,110,3.85181844348717,15,0.525247969566432,127,4.44709947566246,47,1.64577697130815,6,0.210099187826573,100,3.50165313044288,30,1.05049593913286,2,0.0700330626088576,63,2.20604147217902,1,0.0350165313044288,0,0,1,0.0350165313044288,330,11.5554553304615,108,3.78178538087831,638,22.3405469722256,2855794
17,Meghalaya,25,0.842633479041515,12,0.404464069939927,8,0.269642713293285,40,1.34821356646642,15,0.505580087424909,17,0.57299076574823,30,1.01116017484982,11,0.370758730778266,18,0.60669610490989,75,2.52790043712454,22,0.741517461556533,41,1.38191890562808,30,1.01116017484982,12,0.404464069939927,13,0.438169409101588,28,0.943749496526496,9,0.303348052454945,14,0.471874748263248,33,1.1122761923348,12,0.404464069939927,16,0.539285426586569,40,1.34821356646642,9,0.303348052454945,13,0.438169409101588,12,0.404464069939927,6,0.202232034969963,4,0.134821356646642,222,7.48258529388865,31,1.04486551401148,163,5.49397028335067,2966889
18,Mizoram,114,10.3900270322984,94,8.56721527224605,222,20.2332105365811,18,1.64053058404712,9,0.820265292023558,12,1.09368705603141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097206
19,Nagaland,211,10.6646341525053,62,3.13368396898259,157,7.93529650210108,73,3.68966015702789,13,0.657062767689899,51,2.5777077809373,0,0,0,0,0,0,21,1.0614090862683,6,0.303259738933799,22,1.1119523760906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978502
20,Odisha,9251,22.0397197155644,3775,8.99361603353754,10729,25.5609288539932,55,0.131032816382666,16,0.0381186374931392,62,0.147709720285915,90,0.214417335898908,46,0.109591082792775,78,0.185828357779054,28,0.0667076156129937,9,0.0214417335898908,35,0.0833845195162421,26,0.0619427859263513,9,0.0214417335898908,23,0.0547955413963877,11,0.0262065632765332,11,0.0262065632765332,9,0.0214417335898908,13,0.0309713929631756,4,0.00952965937328481,7,0.0166769039032484,14,0.0333538078064968,3,0.00714724452996361,10,0.023824148433212,8,0.0190593187465696,4,0.00952965937328481,9,0.0214417335898908,38,0.0905317640462057,18,0.0428834671797816,29,0.0690900304563149,41974218
21,Punjab,3849,13.8736009343937,2761,9.9519387321021,2577,9.28871644789102,293,1.05610939822742,195,0.702871442506306,199,0.717289318250025,123,0.443349679119362,113,0.407304989760064,22,0.079298316590455,169,0.609155250172131,107,0.385678176144486,85,0.306379859554031,190,0.684849097826657,129,0.464976492734941,173,0.62357312591585,311,1.12098983907416,232,0.836236793135707,166,0.598341843364342,28,0.100925130206034,4,0.0144178757437191,10,0.0360446893592977,112,0.403700520824134,83,0.299170921682171,68,0.245103887643224,51,0.183827915732418,21,0.0756938476545252,45,0.16220110211684,1030,3.71260300400766,782,2.81869470789708,636,2.29244224325133,27743338
22,Rajasthan,23637,34.482186661674,9878,14.4102483328686,26106,38.0840193336575,0,0,0,0,0,0,0,0,0,0,0,0,74,0.107952862586787,36,0.0525176088260043,76,0.110870507521565,170,0.247999819456131,71,0.10357639518462,204,0.297599783347358,23,0.0335529167499472,11,0.0160470471412791,26,0.0379293841521142,4,0.00583528986955603,1,0.00145882246738901,3,0.00437646740216703,66,0.0962822828476746,31,0.0452234964890593,98,0.142964601804123,3,0.00437646740216703,2,0.00291764493477802,1,0.00145882246738901,620,0.904469929781185,237,0.345740924771195,906,1.32169315545444,68548437
23,Sikkim,123,20.1448793518262,32,5.24094422161333,181,29.6440907535004,15,2.45669260388125,11,1.80157457617958,23,3.76692865928458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1.63779506925416,2,0.327559013850833,16,2.62047211080666,4,0.655118027701666,0,0,10,1.63779506925416,11,1.80157457617958,3,0.491338520776249,29,4.74960570083708,0,0,0,0,0,0,40,6.55118027701666,11,1.80157457617958,93,15.2314941440637,610577
24,Tamil Nadu,64337,89.1748419858725,14325,19.8552871822998,74677,103.506686276622,114,0.158010662393171,34,0.0471259870295423,86,0.119201026015901,943,1.30705311084878,275,0.381166071562475,821,1.13795398091924,519,0.719364331421543,196,0.271667454640891,514,0.712434039211316,118,0.163554896161353,27,0.0374235779352248,165,0.228699642937485,36,0.049898103913633,13,0.0180187597465897,56,0.0776192727545403,1046,1.44981713037945,262,0.363147311815885,1209,1.67574465643284,21,0.0291072272829526,6,0.00831635065227217,6,0.00831635065227217,0,0,0,0,0,0,28,0.0388096363772701,4,0.00554423376818145,10,0.0138605844204536,72147030
25,Telangana,16344,50.6714022808332,5357,16.6083395752829,14282,44.2785711805469,18,0.0558055091198603,6,0.0186018363732868,40,0.124012242488578,469,1.45404354317858,50,0.155015303110723,446,1.38273650374765,348,1.07890650965063,139,0.43094254264781,641,1.98729618587947,494,1.53155119473394,194,0.601459376069606,1225,3.79787492621272,338,1.04790344902849,183,0.567356009385247,920,2.8522815772373,62,0.192218975857297,24,0.0744073454931471,175,0.542553560887531,148,0.45884529720774,73,0.226322342541656,378,1.17191569151707,565,1.75167292515117,196,0.607659988194035,1054,3.26772258957404,1119,3.46924248361798,613,1.90048761613747,2222,6.88888007024053,32254880
26,Tripura,562,15.2970249463992,147,4.00117912299053,971,26.4295573362164,23,0.626034828767226,7,0.190532339190025,51,1.38816418552733,25,0.680472639964376,12,0.3266268671829,25,0.680472639964376,20,0.544378111971501,4,0.1088756223943,32,0.871004979154401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0816567167957251,1,0.027218905598575,11,0.299407961584325,0,0,0,0,0,0,78,2.12307463668885,16,0.435502489577201,130,3.53845772781475,3673917
27,Uttarakhand,1039,10.3011096644832,637,6.31550226783044,941,9.32949393097087,146,1.44750915400823,81,0.803070147086759,134,1.32853579888427,0,0,0,0,0,0,35,0.347005619111563,16,0.158631140165286,18,0.178460032685946,1,0.00991444626033036,1,0.00991444626033036,0,0,0,0,0,0,0,0,51,0.505636759276848,28,0.27760449528925,70,0.694011238223125,0,0,0,0,0,0,1,0.00991444626033036,0,0,2,0.0198288925206607,137,1.35827913766526,115,1.14016131993799,366,3.62868733128091,10086292
28,Uttar Pradesh,7661,3.83409751452739,4047,2.02540042308998,5588,2.79662405837085,2737,1.36978526266303,1504,0.752706260520715,1884,0.942884704003343,972,0.486456439645037,501,0.250735263644201,738,0.369346556026787,2059,1.03046688192297,1085,0.543009503101713,1477,0.739193581641686,2719,1.36077681007701,1468,0.734689355348677,1585,0.793244297157802,1582,0.791742888393465,838,0.419393514838005,1185,0.593056461912931,3371,1.68708298152615,1683,0.842290316792795,2423,1.21263781199581,1475,0.738192642465462,807,0.403878957606527,1376,0.688646153242357,465,0.232718358472163,292,0.146137119728756,463,0.231717419295938,5101,2.55289536896022,2556,1.27920026721473,3237,1.62002005671912,199812341
29,West Bengal,5952,6.52087350562631,2680,2.93614600051722,5697,6.24150140483083,1495,1.63788741446763,615,0.673779772506751,1233,1.3508462756111,345,0.377974018723299,205,0.22459325750225,323,0.353871327674277,589,0.64529477399427,350,0.383451903052622,540,0.591611507566903,630,0.69021342549472,335,0.367018250064653,417,0.456855553065553,943,1.03312898451035,398,0.436039592614125,929,1.01779090838825,204,0.223497680636386,117,0.128182493306162,180,0.197203835855634,202,0.221306526904656,93,0.101888648525411,195,0.213637488843604,103,0.112844417184057,59,0.0646390350860135,100,0.109557686586464,2067,2.2645573817422,825,0.903850914338324,2003,2.19444046232686,91276115
30,Andaman & Nicobar Is.,218,57.2808416605138,23,6.04339155133861,283,74.3599916969055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380581
31,Chandigarh,369,34.9613908759297,131,12.4117674925387,335,31.7400161068738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055450
32,Dadra & Nagar Haveli,87,25.3121099534781,59,17.1656837615541,96,27.9306040865965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343709
33,Daman & Diu,39,16.0330857112318,15,6.16657142739684,49,20.1441333294964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243247
34,Delhi ,NA,NA,856,5.09889807213404,NA,NA,NA,NA,13,0.0774365361422226,NA,NA,NA,NA,0,0,NA,NA,NA,NA,7,0.0416965963842737,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,9,0.0536099096369233,NA,NA,NA,NA,0,0,NA,NA,NA,NA,786,4.6819321082913,NA,NA,"1,67,87,941"
35,Lakshadweep,1,1.55103686814636,0,0,1,1.55103686814636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64473
36,Puducherry,1111,89.0257886314629,151,12.0998146564815,1323,106.013607884271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247953
Total ,Total ,378992,31.2995368726143,102878,8.4963106196986,393340,32.484484721245,20876,1.72407104042485,5295,0.437294316873424,16148,1.33360314048575,7191,0.593877890960678,2555,0.21100792816083,6331,0.522853695963295,9196,0.759463368832484,3548,0.293016097500832,8450,0.697854008985917,8356,0.690090899300156,3463,0.285996264274347,7496,0.619066704302773,5961,0.492296774859769,2554,0.210925341887578,5477,0.452325018605428,6721,0.555062342531875,2678,0.221166039770921,6101,0.503858853115157,4210,0.347688210394167,1802,0.148820464401494,4394,0.362884084672677,1664,0.137423558692611,744,0.0614441873000618,1988,0.164181511226509,29463,2.4332393688464,10901,0.900272964728459,27529,2.27351751637554,1210854977
